q0 (),q1,q2,q3
6.442918499404526322e-01,1.793119946914716323e-01,4.471951855954180433e-01,5.939290249182597181e-01
6.414303374323691020e-01,1.784195664495008271e-01,4.499815164479922802e-01,5.951892265360108070e-01
6.385684847275155951e-01,1.775059410373244773e-01,4.527631656814368188e-01,5.964289119512753423e-01
6.357064461194539273e-01,1.765711639794123877e-01,4.555399764639428972e-01,5.976481140741259912e-01
6.328443754738798388e-01,1.756152819740861570e-01,4.583117924241337793e-01,5.988468669812132550e-01
6.299824262197670777e-01,1.746383428891513379e-01,4.610784576599409323e-01,6.000252059114824510e-01
6.271207513405488987e-01,1.736403957574610413e-01,4.638398167474421796e-01,6.011831672618230815e-01
6.242595033653393077e-01,1.726214907724133441e-01,4.665957147496579971e-01,6.023207885826500352e-01
6.213988343601958286e-01,1.715816792833809445e-01,4.693459972253092860e-01,6.034381085734182859e-01
6.185388959194213498e-01,1.705210137910748991e-01,4.720905102375338447e-01,6.045351670780719777e-01
6.156798391569061613e-01,1.694395479428413287e-01,4.748291003625609852e-01,6.056120050804248978e-01
6.128218146975146219e-01,1.683373365278932610e-01,4.775616146983455712e-01,6.066686646994786658e-01
6.099649726685111295e-01,1.672144354724760806e-01,4.802879008731587018e-01,6.077051891846723120e-01
6.071094626910291669e-01,1.660709018349678934e-01,4.830078070541361512e-01,6.087216229110683496e-01
6.042554338715846463e-01,1.649067938009156908e-01,4.857211819557829546e-01,6.097180113744732344e-01
6.014030347936314413e-01,1.637221706780065122e-01,4.884278748484354171e-01,6.106944011864959831e-01
5.985524135091623288e-01,1.625170928909750734e-01,4.911277355666771038e-01,6.116508400695375158e-01
5.957037175303525611e-01,1.612916219764468084e-01,4.938206145177118089e-01,6.125873768517225981e-01
5.928570938212500696e-01,1.600458205777186838e-01,4.965063626896898397e-01,6.135040614617643939e-01
5.900126887895115191e-01,1.587797524394767290e-01,4.991848316599895030e-01,6.144009449237669562e-01
5.871706482781819947e-01,1.574934824024503965e-01,5.018558736034518519e-01,6.152780793519665448e-01
5.843311175575238714e-01,1.561870763980058030e-01,5.045193413005693017e-01,6.161355179454096609e-01
5.814942413168915358e-01,1.548606014426769928e-01,5.071750881456261739e-01,6.169733149825697982e-01
5.786601636566526263e-01,1.535141256326351122e-01,5.098229681547924441e-01,6.177915258159024647e-01
5.758290280801586780e-01,1.521477181380976873e-01,5.124628359741691952e-01,6.185902068663401421e-01
5.730009774857632854e-01,1.507614491976768667e-01,5.150945468877852207e-01,6.193694156177262933e-01
5.701761541588883375e-01,1.493553901126671857e-01,5.177179568255441122e-01,6.201292106111891966e-01
