gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
-2.728533428106651115e+01,2.150474609046236907e+01,4.242089663408776801e+01
-2.686795660339265268e+01,2.296365581392191757e+01,4.206879218010190158e+01
-2.642188486824260707e+01,2.440681037771086181e+01,4.169623673447355827e+01
-2.594742383344996384e+01,2.583324504751821138e+01,4.130370027058967963e+01
-2.544489874140770169e+01,2.724200985818066201e+01,4.089167659186677639e+01
-2.491465419135497683e+01,2.863217837467593441e+01,4.046068874094591195e+01
-2.435705331868081913e+01,3.000284189219214070e+01,4.001128541302856689e+01
-2.377247867677999338e+01,3.135311238891771524e+01,3.954403587957315125e+01
-2.316133119215341907e+01,3.268212657208091798e+01,3.905953719063954566e+01
-2.252402839282598279e+01,3.398904071120402648e+01,3.855840770472328671e+01
-2.186100884022954460e+01,3.527303797105896876e+01,3.804128834527966774e+01
-2.117272534732531497e+01,3.653332548513451883e+01,3.750884214182162424e+01
-2.045965025276268889e+01,3.776913545414634399e+01,3.696175171555422878e+01
-1.972227213084074293e+01,3.897972734649702886e+01,3.640072026098646063e+01
-1.896109725730421047e+01,4.016438694375306540e+01,3.582646972990585255e+01
-1.817664695524947049e+01,4.132242869021007436e+01,3.523974081865040375e+01
-1.736945702354108789e+01,4.245319626797071066e+01,3.464128889892747765e+01
-1.654008350588684095e+01,4.355606135075700536e+01,3.403188856259327366e+01
-1.568909250673338107e+01,4.463042638636582637e+01,3.341232688305211695e+01
-1.481706793796514532e+01,4.567572399415407602e+01,3.278340623280498534e+01
-1.392460846392087959e+01,4.669141807218375817e+01,3.214594280136414994e+01
-1.301232488686849109e+01,4.767700523865499207e+01,3.150076328437040019e+01
-1.208084249988496772e+01,4.863201261718464252e+01,3.084870632237561594e+01
-1.113079962381119437e+01,4.955600003970707235e+01,3.019062016614102006e+01
-1.016284667062932456e+01,5.044856286440205650e+01,2.952736212136638372e+01
-9.177649044546445367e+00,5.130932494675606392e+01,2.885979628953760923e+01
-8.175880122361569136e+00,5.213794887202121231e+01,2.818879441489366044e+01
-7.158227651935416880e+00,5.293412966522139840e+01,2.751523476626367781e+01
-6.125386827677117729e+00,5.369759406629518850e+01,2.683999751444273585e+01
-5.078067955432919334e+00,5.442810732863649292e+01,2.616396725240692689e+01
-4.016988680206493356e+00,5.512546685419727055e+01,2.548803210609623449e+01
-2.942874504820319981e+00,5.578950491846858029e+01,2.481307836495403762e+01
-1.856462972759244545e+00,5.642008962305038722e+01,2.413999483014669778e+01
-7.584983163952425667e-01,5.701712302160852630e+01,2.346966728315715400e+01
3.502665880441409585e-01,5.758054389301547360e+01,2.280298034180760069e+01
1.469072690665177650e+00,5.811032242851860019e+01,2.214081387102344323e+01
2.597152246886289095e+00,5.860646860167252470e+01,2.148404296605654551e+01
3.733733128533224033e+00,5.906902133886017481e+01,2.083353878119121561e+01
4.878036474695336189e+00,5.949806040921375683e+01,2.019016302001280394e+01
6.029276765002236971e+00,5.989369352389737600e+01,1.955477136493121293e+01
7.186665523755416451e+00,6.025606705511106043e+01,1.892820974825405500e+01
8.349410384475692837e+00,6.058536074155161089e+01,1.831131215599787865e+01
9.516713273652426253e+00,6.088178602265738704e+01,1.770490402133561503e+01
1.068777444311000480e+01,6.114558755314303085e+01,1.710979605438337359e+01
1.186179178989782557e+01,6.137704519194853248e+01,1.652678546701232065e+01
1.303796100288601423e+01,6.157646847298727266e+01,1.595665753030679213e+01
1.421547481707397864e+01,6.174420097670711272e+01,1.540017884061030706e+01
1.539352754099234488e+01,6.188061526087611242e+01,1.485810071566106316e+01
1.657131118344601006e+01,6.198611711632317878e+01,1.433115772066801874e+01
1.774801777157826521e+01,6.206114167863686504e+01,1.382006423638061499e+01
1.892284160728457110e+01,6.210615334938652410e+01,1.332551569706965999e+01
2.009497844086652307e+01,6.212164518873247943e+01,1.284818774350728177e+01
2.126362312203791660e+01,6.210813889640721897e+01,1.238873494518922058e+01
2.242797567651201973e+01,6.206618447050297505e+01,1.194778763325894388e+01
2.358723818219706203e+01,6.199635900922388032e+01,1.152595578107325025e+01
2.474061696938230881e+01,6.189926438306793699e+01,1.112382304576849634e+01
2.588731921167335415e+01,6.177552766589148092e+01,1.074195008124030082e+01
2.702656040419982730e+01,6.162580125060479475e+01,1.038087161158612126e+01
2.815756054053280621e+01,6.145076212318534203e+01,1.004109642632034038e+01
2.927954284303305243e+01,6.125110675872878829e+01,9.723105064267944186e+00
3.039174011531031283e+01,6.102755486544956653e+01,9.427353062875498679e+00
3.149338882552911301e+01,6.078085001581792568e+01,9.154266050405190924e+00
3.258373434486827591e+01,6.051174965447768272e+01,8.904240602517477399e+00
3.366202954079365384e+01,6.022103568797278683e+01,8.677645224547267944e+00
3.472753489862292753e+01,5.990950452218092437e+01,8.474818303403829134e+00
3.577952110878597836e+01,5.957797083463908194e+01,8.296066507314662886e+00
3.681726623449267066e+01,5.922726402888082475e+01,8.141667652654172471e+00
3.784006002672676772e+01,5.885822980129367465e+01,8.011867191026848189e+00
3.884720066270289607e+01,5.847172552737049500e+01,7.906878551579241687e+00
3.983799819220251948e+01,5.806862314756581611e+01,7.826884179508764028e+00
4.081177243131561738e+01,5.764980504526024419e+01,7.772034164537551248e+00
4.176785859762848929e+01,5.721616207027902590e+01,7.742445822627815666e+00
4.270559968746763957e+01,5.676859828316700884e+01,7.738202377828776513e+00
4.362435388768960109e+01,5.630802164687437994e+01,7.759356884421547917e+00
4.452349002670844413e+01,5.583535084581777141e+01,7.805926635892025622e+00
4.540239332142551376e+01,5.535150647296451609e+01,7.877897368712551973e+00
4.626046021828909716e+01,5.485741826668000698e+01,7.975221893516872385e+00
4.709710327350726544e+01,5.435401555058774647e+01,8.097817214611728431e+00
4.791175063605094664e+01,5.384222967493103340e+01,8.245568071169136815e+00
4.870384065789406236e+01,5.332299671585517586e+01,8.418329005838474544e+00
4.947283308721429052e+01,5.279724946179749878e+01,8.615917968939065474e+00
5.021820038147281196e+01,5.226592127698080503e+01,8.838120435704684752e+00
5.093943064009570065e+01,5.172994264469171810e+01,9.084689380610569742e+00
5.163603217898617004e+01,5.119024007848388891e+01,9.355346442156301734e+00
5.230752473343867592e+01,5.064773550231673482e+01,9.649778084638899855e+00
5.295344917668380447e+01,5.010334580038254870e+01,9.967642087940198792e+00
5.357336175574477721e+01,4.955798006378979181e+01,1.030856173316485780e+01
5.416683992189129526e+01,4.901253984388316098e+01,1.067213117970211478e+01
5.473347546517278062e+01,4.846791723204862024e+01,1.105791112732018711e+01
5.527287941352276590e+01,4.792499414975098659e+01,1.146543381015316143e+01
5.578468384800850544e+01,4.738464253067136411e+01,1.189420165920500239e+01
5.626853637265377017e+01,4.684771857443070786e+01,1.234368596034633114e+01
5.672410681330282500e+01,4.631506875342895313e+01,1.281333066778926266e+01
5.715108240021156405e+01,4.578752269314470169e+01,1.330254898907955941e+01
5.754916982034347939e+01,4.526589525007504733e+01,1.381073142536349252e+01
5.791809696977019684e+01,4.475098585838552623e+01,1.433723551083657277e+01
5.825760941183608566e+01,4.424357440952056919e+01,1.488139641176482364e+01
5.856747725551640826e+01,4.374442493569099355e+01,1.544252237366933223e+01
5.884748591781040972e+01,4.325427960899819624e+01,1.601989768444619244e+01
5.909744547261874459e+01,4.277386276218017258e+01,1.661278127171517127e+01
5.931718276891275821e+01,4.230387604084572928e+01,1.722041098573861717e+01
5.950654753909325478e+01,4.184500016781596798e+01,1.784199784292269797e+01
5.966541018034899935e+01,4.139789304119774727e+01,1.847673792030171214e+01
5.979366236955196712e+01,4.096318887704308054e+01,1.912380241699435146e+01
5.989121552118312053e+01,4.054149759632010586e+01,1.978234369298255757e+01
5.995800415617831902e+01,4.013340485175818628e+01,2.045149603431110563e+01
5.999398011397659758e+01,3.973946955190363894e+01,2.113037681980932447e+01
5.999911993858973602e+01,3.936022602554200489e+01,2.181808411252169932e+01
5.997342106210950163e+01,3.899618159575858556e+01,2.251370312064263501e+01
5.991689928029553158e+01,3.864781257849688956e+01,2.321630303776973037e+01
5.982959489233143557e+01,3.831557269681518108e+01,2.392494118541486969e+01
5.971156703784438946e+01,3.799988420111367304e+01,2.463866045590663845e+01
5.956289658382219443e+01,3.770113958362723139e+01,2.535649330288677206e+01
5.938368556857899705e+01,3.741970459107724878e+01,2.607746209847051944e+01
5.917405646844783718e+01,3.715591235616345500e+01,2.680058082553275511e+01
5.893415346534612098e+01,3.691006831319651127e+01,2.752485425483340720e+01
5.866414130536589511e+01,3.668244640746200957e+01,2.824928186244057571e+01
5.836420399264465431e+01,3.647328943278063917e+01,2.897285598905288850e+01
5.803454739845660271e+01,3.628280896018910084e+01,2.969456566552334564e+01
5.767539839697204940e+01,3.611118685558442820e+01,3.041339551195105173e+01
5.728700160310084044e+01,3.595857174549663426e+01,3.112833064038555975e+01
5.686962427213087778e+01,3.582508280450824856e+01,3.183835193660824459e+01
5.642355199459442616e+01,3.571080423652835378e+01,3.254244346420787792e+01
5.594908990925215164e+01,3.561579357666740009e+01,3.323958884060222374e+01
5.544656558207417163e+01,3.554007224416652377e+01,3.392877602753547706e+01
5.491632096523928652e+01,3.548363217589337637e+01,3.460899482873003308e+01
5.435872066204082387e+01,3.544643359638774882e+01,3.527924304857637594e+01
5.377414630764231873e+01,3.542840479361942130e+01,3.593852158633122684e+01
5.316299762489428105e+01,3.542944407437786936e+01,3.658584073926033398e+01
5.252569520168805184e+01,3.544941666303144245e+01,3.722021907990278322e+01
5.186267558817769441e+01,3.548815961571909838e+01,3.784068471864058836e+01
5.117439212305852436e+01,3.554547549605906198e+01,3.844627664970120406e+01
5.046131705500652487e+01,3.562114124233747958e+01,3.903604566052715086e+01
4.972394002587051887e+01,3.571490093867315352e+01,3.960905595120523515e+01
4.896276513129595287e+01,3.582646988034584723e+01,4.016438748006708437e+01
4.817831392731013551e+01,3.595553480341019537e+01,4.070113132930285360e+01
4.737112391225069530e+01,3.610175355905954575e+01,4.121840071867708843e+01
4.654175079510846302e+01,3.626475451433550035e+01,4.171532290943525112e+01
4.569075987471286737e+01,3.644414129209800279e+01,4.219104320235435779e+01
4.481873588876631942e+01,3.663948823317224424e+01,4.264472813892326286e+01
4.392627576250495736e+01,3.685034405275416702e+01,4.307556332738784022e+01
4.301399251227945797e+01,3.707623159682835023e+01,4.348275893012847604e+01
4.208250969438188349e+01,3.731664898319225188e+01,4.386554268384777089e+01
4.113246625287994362e+01,3.757106958741371727e+01,4.422317073107011254e+01
4.016451472853540849e+01,3.783894327739664476e+01,4.455492008086888944e+01
3.917931541982112975e+01,3.811969758962295174e+01,4.486009381874027468e+01
3.817754716007430460e+01,3.841273662902891317e+01,4.513802123704149238e+01
3.715989350640030864e+01,3.871744273624304356e+01,4.538805850210187032e+01
3.612705401423158236e+01,3.903318187226696523e+01,4.560958918683689234e+01
3.507973538827477000e+01,3.935929610805977319e+01,4.580202556964892580e+01
3.401865534279831849e+01,3.969510919868262988e+01,4.596480788159630038e+01
