ref_gyro_x (deg/s),ref_gyro_y (deg/s),ref_gyro_z (deg/s)
2.358640479192929362e+01,6.199552576800338954e+01,1.152512201615964571e+01
2.473978262719953136e+01,6.189843085267462897e+01,1.112298936176716957e+01
2.588648530197019326e+01,6.177469429879630525e+01,1.074111642482276707e+01
2.702572692350707939e+01,6.162496819476624665e+01,1.038003790684144967e+01
2.815672671250912984e+01,6.144992818605308571e+01,1.004026235385323851e+01
2.927870953821560107e+01,6.125027258442143108e+01,9.722271455321536138e+00
3.039090644964210242e+01,6.102672145149999494e+01,9.426519375338319406e+00
3.149255520258095942e+01,6.078001565782275861e+01,9.153432116940040331e+00
3.258290078200548123e+01,6.051091591850286733e+01,8.903406920349194564e+00
3.366119591951952827e+01,6.022020180672659961e+01,8.676811695904127930e+00
3.472670160549784413e+01,5.990867074628179978e+01,8.473984492398390245e+00
3.577868759556648115e+01,5.957713698435902216e+01,8.295233001507751780e+00
3.681643291107569382e+01,5.922643054588851186e+01,8.140834098938803720e+00
3.783922633322278273e+01,5.885739617069675234e+01,8.011033422888930389e+00
3.884636689048586078e+01,5.847089223478768361e+01,7.906044990362074643e+00
3.983716433903477849e+01,5.806778965707160722e+01,7.826050851838217248e+00
4.081093963578975092e+01,5.764897079288282100e+01,7.771200784748622858e+00
4.176702540380352247e+01,5.721532831564159238e+01,7.741612026160746396e+00
4.270476638964827742e+01,5.676776408803083740e+01,7.737369045030298764e+00
4.362351991249347094e+01,5.630718802406934032e+01,7.758523354328428212e+00
4.452265630456734868e+01,5.583451694347417771e+01,7.805093363304653309e+00
4.540155934269962046e+01,5.535067341971401333e+01,7.877064270096419740e+00
4.625962667065017087e+01,5.485658462316149553e+01,7.974387994847729644e+00
4.709627021193381324e+01,5.435318116075881534e+01,8.096983153449608395e+00
4.791091657285866034e+01,5.384139591361389421e+01,8.244735071965697770e+00
4.870300743550140510e+01,5.332216287394685850e+01,8.417495841756828412e+00
4.947199994035060655e+01,5.279641598280616677e+01,8.615084415269027573e+00
5.021736705835547809e+01,5.226508796997283923e+01,8.837286742399248496e+00
5.093859795212529207e+01,5.172910919746742309e+01,9.083855947304575906e+00
5.163519832603171267e+01,5.118940650806977288e+01,9.354512545470257123e+00
5.230669076497443370e+01,5.064690208025467655e+01,9.648944700803927077e+00
5.295261506157761033e+01,5.010251229093814374e+01,9.966808522473915133e+00
5.357252853159298667e+01,4.955714658741910483e+01,1.030772840116090805e+01
5.416600631729359350e+01,4.901170636988907603e+01,1.067129738434508646e+01
5.473264167864999763e+01,4.846708388586975502e+01,1.105707759020179992e+01
5.527204627208956111e+01,4.792416113792208421e+01,1.146460065963321817e+01
5.578385041664781596e+01,4.738380880595475020e+01,1.189336824591570441e+01
5.626770334732928092e+01,4.684688518544122360e+01,1.234285254139726717e+01
5.672327345550424127e+01,4.631423514283424225e+01,1.281249684063404715e+01
5.715024851617680213e+01,4.578668908944553806e+01,1.330171613931038266e+01
5.754833590196825099e+01,4.526506197503521634e+01,1.380989776824305793e+01
5.791726278366929392e+01,4.475015230233086072e+01,1.433640206172762888e+01
5.825677631722351180e+01,4.424274116366996168e+01,1.488056305944272850e+01
5.856664381701408217e+01,4.374359130093225190e+01,1.544168924108708474e+01
5.884665291533487874e+01,4.325344618989903012e+01,1.601906429288391820e+01
5.909661170793670237e+01,4.277302915014677609e+01,1.661194790504868379e+01
5.931634888554879836e+01,4.230304248155009361e+01,1.721957659927775097e+01
5.950571385128573354e+01,4.184416662843668178e+01,1.784116458527907412e+01
5.966457682385903638e+01,4.139705937240199063e+01,1.847590464533049825e+01
5.979282892652263115e+01,4.096235505475666372e+01,1.912296904581667079e+01
5.989038226169171253e+01,4.054066382954228231e+01,1.978151047466234758e+01
5.995716997118326219e+01,4.013257094801392810e+01,2.045066300354864097e+01
5.999314628203730848e+01,3.973863607544856080e+01,2.112954307376764973e+01
5.999828653788743082e+01,3.935939264109878621e+01,2.181725050454238612e+01
5.997258721585905050e+01,3.899534722207013004e+01,2.251286952261082419e+01
5.991606592898379091e+01,3.864697896185879955e+01,2.321546981184724601e+01
5.982876141412833704e+01,3.831473902424325217e+01,2.392410758166871076e+01
5.971073350544624248e+01,3.799905008318005883e+01,2.463782665295198981e+01
5.956206309337047600e+01,3.770030584930984219e+01,2.535565956016401756e+01
5.938285206917523595e+01,3.741887063363373045e+01,2.607662866838940374e+01
5.917322325514471260e+01,3.715507894887550577e+01,2.679974730391967697e+01
5.893332032039685231e+01,3.690923514899778013e+01,2.752402089705235610e+01
5.866330768241968485e+01,3.668161310729348656e+01,2.824844813573249880e+01
5.836337039438789276e+01,3.647245593342697845e+01,2.897202212865606796e+01
5.803371401833645393e+01,3.628197572975054186e+01,2.969373157644238148e+01
5.767456448427883231e+01,3.611035338717410781e+01,3.041256194947278146e+01
5.728616793536573226e+01,3.595773842081704430e+01,3.112749667098423600e+01
5.686879055919096970e+01,3.582424884562232847e+01,3.183751830399975802e+01
5.642271840535967442e+01,3.570997109206395947e+01,3.254160974067239920e+01
5.594825718944431259e+01,3.561495996202905445e+01,3.323875539261636902e+01
5.544573208346237436e+01,3.553923862490705687e+01,3.392794238079714120e+01
5.491548749301983889e+01,3.548279865386880516e+01,3.460816172355271192e+01
5.435788682127265758e+01,3.544560010226877012e+01,3.527840952131957408e+01
5.377331221986850807e+01,3.542757162005462845e+01,3.593768813664132722e+01
5.316216432703900097e+01,3.542861061001899969e+01,3.658500736804239040e+01
5.252486199302239811e+01,3.544858342367925275e+01,3.721938561635684550e+01
5.186184199300443964e+01,3.548732559652282248e+01,3.783985104211095063e+01
