ref_Yaw (deg),ref_Pitch (deg),ref_Roll (deg)
1.065000000273157212e+02,8.750000002731567861e+01,-8.949999999089479275e+01
1.080000000245842102e+02,8.900000002458412496e+01,-8.899999999180532484e+01
-7.049999997787422501e+01,8.949999997787425343e+01,9.150000000737523465e+01
-6.899999998008675561e+01,8.799999998008679825e+01,9.200000000663770550e+01
-6.749999998207808005e+01,8.649999998207812268e+01,9.250000000597393068e+01
-6.599999998387028199e+01,8.499999998387032463e+01,9.300000000537653477e+01
-6.449999998548324243e+01,8.349999998548328506e+01,9.350000000483889551e+01
-6.299999998693488834e+01,8.199999998693493808e+01,9.400000000435501590e+01
-6.149999998824140590e+01,8.049999998824144143e+01,9.450000000391951005e+01
-5.999999998941723334e+01,7.899999998941727597e+01,9.500000000352756047e+01
-5.849999999047550858e+01,7.749999999047554411e+01,9.550000000317480442e+01
-5.699999999142794138e+01,7.599999999142798401e+01,9.600000000285733393e+01
-5.549999999228515435e+01,7.449999999228519698e+01,9.650000000257159627e+01
-5.399999999305661902e+01,7.299999999305666165e+01,9.700000000231443664e+01
-5.249999999375094006e+01,7.149999999375097559e+01,9.750000000208299866e+01
-5.099999999437584819e+01,6.999999999437588372e+01,9.800000000187471016e+01
-4.949999999493826408e+01,6.849999999493830671e+01,9.850000000168724057e+01
-4.799999999544444762e+01,6.699999999544448315e+01,9.900000000151852930e+01
-4.649999999589999078e+01,6.549999999590002631e+01,9.950000000136667211e+01
-4.499999999630999525e+01,6.399999999631003789e+01,1.000000000012300063e+02
-4.349999999667898010e+01,6.249999999667902273e+01,1.005000000011070256e+02
-4.199999999701107356e+01,6.099999999701111619e+01,1.010000000009963230e+02
-4.049999999730993494e+01,5.949999999730997757e+01,1.015000000008966907e+02
-3.899999999757892510e+01,5.799999999757896774e+01,1.020000000008070202e+02
-3.749999999782104965e+01,5.649999999782108517e+01,1.025000000007263168e+02
-3.599999999803894468e+01,5.499999999803898731e+01,1.030000000006536993e+02
-3.449999999823506158e+01,5.349999999823510421e+01,1.035000000005883436e+02
-3.299999999841153908e+01,5.199999999841157461e+01,1.040000000005295107e+02
-3.149999999857035249e+01,5.049999999857039512e+01,1.045000000004765610e+02
-2.999999999871329237e+01,4.899999999871332790e+01,1.050000000004289120e+02
-2.849999999884192903e+01,4.749999999884197166e+01,1.055000000003860237e+02
-2.699999999895774394e+01,4.599999999895778302e+01,1.060000000003474270e+02
-2.549999999906195569e+01,4.449999999906199832e+01,1.065000000003126956e+02
-2.399999999915573667e+01,4.299999999915577575e+01,1.070000000002814318e+02
-2.249999999924015270e+01,4.149999999924019534e+01,1.075000000002532943e+02
-2.099999999931612038e+01,3.999999999931615946e+01,1.080000000002279705e+02
-1.949999999938450657e+01,3.849999999938454920e+01,1.085000000002051763e+02
-1.799999999944602536e+01,3.699999999944606088e+01,1.090000000001846701e+02
-1.649999999950138374e+01,3.549999999950141927e+01,1.095000000001661959e+02
-1.499999999955124430e+01,3.399999999955128516e+01,1.100000000001495835e+02
-1.349999999959612040e+01,3.249999999959616304e+01,1.105000000001346194e+02
-1.199999999963651831e+01,3.099999999963655739e+01,1.110000000001211760e+02
-1.049999999967284303e+01,2.949999999967288389e+01,1.115000000001090541e+02
-8.999999999705556419e+00,2.799999999970559728e+01,1.120000000000981544e+02
-7.499999999735012857e+00,2.649999999973505282e+01,1.125000000000883489e+02
-5.999999999761517877e+00,2.499999999976155607e+01,1.130000000000795097e+02
-4.499999999785376126e+00,2.349999999978541609e+01,1.135000000000715659e+02
-2.999999999806842954e+00,2.199999999980688159e+01,1.140000000000644036e+02
-1.499999999826172159e+00,2.049999999982621190e+01,1.145000000000579661e+02
1.564324014531016023e-10,1.899999999984360599e+01,1.150000000000521823e+02
1.500000000140767176e+00,1.749999999985927346e+01,1.155000000000469669e+02
3.000000000126679556e+00,1.599999999987335997e+01,1.160000000000422773e+02
4.500000000114016352e+00,1.449999999988602362e+01,1.165000000000380425e+02
6.000000000102625464e+00,1.299999999989741362e+01,1.170000000000342482e+02
7.500000000092354568e+00,1.149999999990768451e+01,1.175000000000308376e+02
9.000000000083101526e+00,9.999999999916937554e+00,1.180000000000277538e+02
1.050000000007476331e+01,8.499999999925275773e+00,1.185000000000249685e+02
1.200000000006729195e+01,6.999999999932747130e+00,1.190000000000224674e+02
1.350000000006058265e+01,5.499999999939456430e+00,1.195000000000202220e+02
1.500000000005453593e+01,3.999999999945503593e+00,1.200000000000182041e+02
1.650000000004909850e+01,2.499999999950940133e+00,1.205000000000163993e+02
1.800000000004417089e+01,9.999999999558680797e-01,1.210000000000147651e+02
1.950000000003975131e+01,-5.000000000397131217e-01,1.215000000000132871e+02
2.100000000003579004e+01,-2.000000000035752290e+00,1.220000000000119513e+02
2.250000000003223732e+01,-3.500000000032198688e+00,1.225000000000107576e+02
2.400000000002903988e+01,-5.000000000029000802e+00,1.230000000000096776e+02
2.550000000002614797e+01,-6.500000000026108893e+00,1.235000000000087113e+02
2.700000000002356160e+01,-8.000000000023522517e+00,1.240000000000078302e+02
2.850000000002122746e+01,-9.500000000021190161e+00,1.245000000000070344e+02
3.000000000001909939e+01,-1.100000000001906031e+01,1.250000000000063523e+02
3.150000000001717382e+01,-1.250000000001713474e+01,1.255000000000056986e+02
3.300000000001545430e+01,-1.400000000001541345e+01,1.260000000000051443e+02
3.450000000001393374e+01,-1.550000000001389466e+01,1.265000000000046185e+02
3.600000000001256950e+01,-1.700000000001253042e+01,1.270000000000041638e+02
3.750000000001130473e+01,-1.850000000001126566e+01,1.275000000000037517e+02
3.900000000001019629e+01,-2.000000000001015366e+01,1.280000000000033822e+02
4.050000000000918732e+01,-2.150000000000914469e+01,1.285000000000030411e+02
4.200000000000827782e+01,-2.300000000000823874e+01,1.290000000000027285e+02
4.350000000000747491e+01,-2.450000000000743228e+01,1.295000000000024443e+02
4.500000000000671463e+01,-2.600000000000667910e+01,1.300000000000022169e+02
4.650000000000606093e+01,-2.750000000000602540e+01,1.305000000000020179e+02
4.800000000000546407e+01,-2.900000000000542144e+01,1.310000000000017906e+02
4.950000000000490985e+01,-3.050000000000487077e+01,1.315000000000016200e+02
5.100000000000441247e+01,-3.200000000000436984e+01,1.320000000000014495e+02
5.250000000000395772e+01,-3.350000000000392220e+01,1.325000000000013358e+02
5.400000000000355982e+01,-3.500000000000352429e+01,1.330000000000011937e+02
5.550000000000321165e+01,-3.650000000000317613e+01,1.335000000000010800e+02
5.700000000000292033e+01,-3.800000000000287770e+01,1.340000000000009663e+02
5.850000000000262190e+01,-3.950000000000257927e+01,1.345000000000008811e+02
6.000000000000237321e+01,-4.100000000000233769e+01,1.350000000000007958e+02
6.150000000000213163e+01,-4.250000000000208900e+01,1.355000000000007105e+02
6.300000000000193268e+01,-4.400000000000189715e+01,1.360000000000006537e+02
6.450000000000173372e+01,-4.550000000000169820e+01,1.365000000000005969e+02
6.600000000000159162e+01,-4.700000000000155609e+01,1.370000000000005400e+02
6.750000000000144951e+01,-4.850000000000141398e+01,1.375000000000004832e+02
6.900000000000130740e+01,-5.000000000000126477e+01,1.380000000000004263e+02
7.050000000000116529e+01,-5.150000000000112266e+01,1.385000000000003979e+02
7.200000000000106581e+01,-5.300000000000103029e+01,1.390000000000003695e+02
7.350000000000098055e+01,-5.450000000000093792e+01,1.395000000000003411e+02
7.500000000000088107e+01,-5.600000000000084555e+01,1.400000000000003126e+02
7.650000000000078160e+01,-5.750000000000074607e+01,1.405000000000002558e+02
